Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Cameroon,CMR,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.58577904701397,-4.54403921011233,-1.87055991134991,-1.46979156468471,-2.44032050651055,0.248823123895243,,,1.46104012141561,0.124136886782295,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.1246780340031,-12.616760986186,-13.2232582499287,-8.16512033932967,-1.88581984396399,-8.08585966570775,-19.6522041116425,-5.61995454909267,,-1.26890063467266,-5.24296807572806,6.55159383905896,-3.22550143020604,9.621747970318,18.6223472450403,11.5249060286442,27.904016756726,7.55021603229228,40.912125419697,,,,,
Colombia,COL,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.38468625603451,-6.11307216832256,-3.1222952043581,,,-5.13724813812984,,,,,-5.80539007570211,-7.26503710992595,-4.68188851128451,-1.33060219129593,2.51624790973865,-5.50179234360173,-5.41048057705154,
Comoros,COM,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.94780555268846,-1.91251230098032,1.84843880084902,2.17875182265663,-0.42564977432914,,,,,,
Costa Rica,CRI,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,0.393607805305756,3.48070857753058,1.72571796844744,1.30588713265879,0.531698749590758,-1.49036728429198,-3.00713611326836,-3.76761534061677,-0.245172292683426,0.840981657253694,0.605841062018183,1.82814320966892,0.990794948114737,-1.71755780913135,-0.722764233576061,1.42088626260957,0.0556619048568421,-1.94772863996368,-0.977294577577235,0.766559473092678,-0.149603108183561,-4.43000737421954,-2.12947127811493,-2.82769166713077,-1.83711920731893,-1.2043575349272,-1.41354634682479,-1.31487527027739,-1.21212620622913,-3.40611944841664,-1.59802981136103,-1.32657378152558,-0.794910190146497,1.14584777507983,1.73556044662715,-0.784481932206465,-3.3598454397922,-4.14967892911274,-3.34696814394622,-3.91906756042588,-4.31431463210436,-2.89249201404584,
Caribbean small states,CSS,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.865807039105191,-3.27433374931757,-0.419322144632822,-0.761236412093207,2.17031184708526,-0.282490385642911,-1.37285993946836,-1.13043623107353,-5.60813999274189,-3.36310981512505,,,,,
Cuba,CUB,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
