countries,country codes,item,item codes,element,element codes,2007,2008,2009,2010,2011,2012,2013
United Kingdom,229,Bananas,486,Production (tonnes),5510,,,,,,,
United Republic of Tanzania,215,Bananas,486,Production (tonnes),5510,3082606,2447098,3006400,3155710,3143835,2524740,
United States of America,231,Bananas,486,Production (tonnes),5510,11612,7890,8390,8074,7893,8000,
United States Virgin Islands,240,Bananas,486,Production (tonnes),5510,,,,,,,
Uruguay,234,Bananas,486,Production (tonnes),5510,,,,,,,
USSR,228,Bananas,486,Production (tonnes),5510,,,,,,,
Uzbekistan,235,Bananas,486,Production (tonnes),5510,,,,,,,
Vanuatu,155,Bananas,486,Production (tonnes),5510,14500,14434,15800,16000,15000,15500,
Venezuela (Bolivarian Republic of),236,Bananas,486,Production (tonnes),5510,512187,383836,400000,413174,415693,450000,
Viet Nam,237,Bananas,486,Production (tonnes),5510,1355000,1400000,1428079,1489740,1523428,1560000,
Wallis and Futuna Islands,243,Bananas,486,Production (tonnes),5510,4300,4281,5431,6066,6100,6500,
Western Sahara,205,Bananas,486,Production (tonnes),5510,,,,,,,
Yemen,249,Bananas,486,Production (tonnes),5510,120370,128796,132418,133352,129337,127468,
Yugoslav SFR,248,Bananas,486,Production (tonnes),5510,,,,,,,
Zambia,251,Bananas,486,Production (tonnes),5510,623,650,690,720,650,680,
Zimbabwe,181,Bananas,486,Production (tonnes),5510,102545,102391,106153,108907,94921,100000,
Net Food Importing Developing Countries + (Total),5817,Bananas,486,Production (tonnes),5510,16665219,16395679,17820354,18410975,18653609,18314776,
Low Income Food Deficit Countries + (Total),5815,Bananas,486,Production (tonnes),5510,45409016,48732530,50414317,54405771,52774702,48449901,
European Union + (Total),5706,Bananas,486,Production (tonnes),5510,399263,411328,393294,437820,386280,406841,
Least Developed Countries + (Total),5801,Bananas,486,Production (tonnes),5510,11400143,10949297,12133919,12622747,13171303,12622755,
Land Locked Developing Countries + (Total),5802,Bananas,486,Production (tonnes),5510,3786613,3751509,3895734,4117094,4100727,3667391,
Small Island Developing States + (Total),5803,Bananas,486,Production (tonnes),5510,2720388,2501975,2688738,2900642,3030679,3120925,
World + (Total),5000,Bananas,486,Production (tonnes),5510,91661118,96222991,100223702,105726175,106058471,101992743,
Africa + (Total),5100,Bananas,486,Production (tonnes),5510,13912492,14272960,15616291,16225955,16380607,15863068,
 --Eastern Africa + (Total),5101,Bananas,486,Production (tonnes),5510,7952159,7840832,8614159,8862289,8327505,7407155,
 --Middle Africa + (Total),5102,Bananas,486,Production (tonnes),5510,3007055,3396989,3806823,3986378,4652630,5022454,
 --Northern Africa + (Total),5103,Bananas,486,Production (tonnes),5510,1687431,1839004,1964790,2002440,2018869,2102379,
 --Southern Africa + (Total),5104,Bananas,486,Production (tonnes),5510,351749,398826,376505,399021,390497,392680,
 --Western Africa + (Total),5105,Bananas,486,Production (tonnes),5510,914098,797309,854014,975827,991106,938400,
Americas + (Total),5200,Bananas,486,Production (tonnes),5510,25525501,26013736,26669248,27570902,27821807,27111707,
 --Northern America + (Total),5203,Bananas,486,Production (tonnes),5510,11869,8210,8730,8401,8213,8325,
 --Central America + (Total),5204,Bananas,486,Production (tonnes),5510,7939799,8013551,7761450,8001384,8179768,8299798,
 --Caribbean + (Total),5206,Bananas,486,Production (tonnes),5510,1646046,1402085,1608967,1711959,1882917,1904854,
 --South America + (Total),5207,Bananas,486,Production (tonnes),5510,15927787,16589890,17290101,17849158,17750909,16898730,
Asia + (Total),5300,Bananas,486,Production (tonnes),5510,50620233,54291463,56238242,60077463,60118560,57094628,
 --Central Asia + (Total),5301,Bananas,486,Production (tonnes),5510,,,,,,,
 --Eastern Asia + (Total),5302,Bananas,486,Production (tonnes),5510,8038590,8042578,9006657,9849068,10705917,10845465,
 --Southern Asia + (Total),5303,Bananas,486,Production (tonnes),5510,25152623,27451458,27665747,30962107,29608421,26058901,
 --South-Eastern Asia + (Total),5304,Bananas,486,Production (tonnes),5510,16820275,18209746,18953085,18595023,19114636,19487724,
 --Western Asia + (Total),5305,Bananas,486,Production (tonnes),5510,608745,587681,612753,671265,689586,702538,
Europe + (Total),5400,Bananas,486,Production (tonnes),5510,392163,405678,386594,431810,380332,399940,
 --Eastern Europe + (Total),5401,Bananas,486,Production (tonnes),5510,,,,,,,
 --Northern Europe + (Total),5402,Bananas,486,Production (tonnes),5510,,,,,,,
 --Southern Europe + (Total),5403,Bananas,486,Production (tonnes),5510,392163,405678,386594,431810,380332,399940,
 --Western Europe + (Total),5404,Bananas,486,Production (tonnes),5510,,,,,,,
Oceania + (Total),5500,Bananas,486,Production (tonnes),5510,1210729,1239154,1313327,1420045,1357165,1523400,
 --Australia & New Zealand + (Total),5501,Bananas,486,Production (tonnes),5510,213193,207061,270393,302173,202751,285535,
 --Melanesia + (Total),5502,Bananas,486,Production (tonnes),5510,959357,994441,1000684,1070583,1118076,1199655,
 --Micronesia + (Total),5503,Bananas,486,Production (tonnes),5510,8250,8212,9092,10155,9318,9350,
 --Polynesia + (Total),5504,Bananas,486,Production (tonnes),5510,29929,29440,33158,37134,27020,28860,
