countries,country codes,item,item codes,element,element codes,2007,2008,2009,2010,2011,2012,2013
Republic of Moldova,146,Cherries,531,Production (tonnes),5510,6680,7215,9751,7125,8485,8644,
Réunion,182,Cherries,531,Production (tonnes),5510,,,,,,,
Romania,183,Cherries,531,Production (tonnes),5510,65163,67664,67874,70290,81842,70542,
Russian Federation,185,Cherries,531,Production (tonnes),5510,100000,73000,76000,66700,76000,72000,
Rwanda,184,Cherries,531,Production (tonnes),5510,,,,,,,
"Saint Helena, Ascension and Tristan da Cunha",187,Cherries,531,Production (tonnes),5510,,,,,,,
Saint Kitts and Nevis,188,Cherries,531,Production (tonnes),5510,,,,,,,
Saint Lucia,189,Cherries,531,Production (tonnes),5510,,,,,,,
Saint Pierre and Miquelon,190,Cherries,531,Production (tonnes),5510,,,,,,,
Saint Vincent and the Grenadines,191,Cherries,531,Production (tonnes),5510,,,,,,,
Samoa,244,Cherries,531,Production (tonnes),5510,,,,,,,
San Marino,192,Cherries,531,Production (tonnes),5510,,,,,,,
Sao Tome and Principe,193,Cherries,531,Production (tonnes),5510,,,,,,,
Saudi Arabia,194,Cherries,531,Production (tonnes),5510,,,,,,,
Senegal,195,Cherries,531,Production (tonnes),5510,,,,,,,
Serbia,272,Cherries,531,Production (tonnes),5510,28546,29551,29228,22201,28551,22213,
Serbia and Montenegro,186,Cherries,531,Production (tonnes),5510,,,,,,,
Seychelles,196,Cherries,531,Production (tonnes),5510,,,,,,,
Sierra Leone,197,Cherries,531,Production (tonnes),5510,,,,,,,
Singapore,200,Cherries,531,Production (tonnes),5510,,,,,,,
Slovakia,199,Cherries,531,Production (tonnes),5510,1676,1863,1769,1920,2130,2200,
Slovenia,198,Cherries,531,Production (tonnes),5510,3483,2635,3951,2958,4235,2786,
Solomon Islands,25,Cherries,531,Production (tonnes),5510,,,,,,,
Somalia,201,Cherries,531,Production (tonnes),5510,,,,,,,
South Africa,202,Cherries,531,Production (tonnes),5510,206,272,466,290,341,302,
South Sudan,277,Cherries,531,Production (tonnes),5510,,,,,,,
Spain,203,Cherries,531,Production (tonnes),5510,73200,69700,97645,85192,101945,98400,
Sri Lanka,38,Cherries,531,Production (tonnes),5510,,,,,,,
Sudan,276,Cherries,531,Production (tonnes),5510,,,,,,,
Sudan (former),206,Cherries,531,Production (tonnes),5510,,,,,,,
Suriname,207,Cherries,531,Production (tonnes),5510,,,,,,,
Svalbard and Jan Mayen Islands,260,Cherries,531,Production (tonnes),5510,,,,,,,
Swaziland,209,Cherries,531,Production (tonnes),5510,,,,,,,
Sweden,210,Cherries,531,Production (tonnes),5510,400,450,870,1000,500,450,
Switzerland,211,Cherries,531,Production (tonnes),5510,10406,6281,12144,7301,13865,5504,
Syrian Arab Republic,212,Cherries,531,Production (tonnes),5510,75034,48300,56886,58084,62195,82341,
Tajikistan,208,Cherries,531,Production (tonnes),5510,,,,,,,
Thailand,216,Cherries,531,Production (tonnes),5510,,,,,,,
The former Yugoslav Republic of Macedonia,154,Cherries,531,Production (tonnes),5510,4966,5631,5587,5701,6019,5539,
Timor-Leste,176,Cherries,531,Production (tonnes),5510,,,,,,,
Togo,217,Cherries,531,Production (tonnes),5510,,,,,,,
Tokelau,218,Cherries,531,Production (tonnes),5510,,,,,,,
Tonga,219,Cherries,531,Production (tonnes),5510,,,,,,,
Trinidad and Tobago,220,Cherries,531,Production (tonnes),5510,,,,,,,
Tunisia,222,Cherries,531,Production (tonnes),5510,4500,4200,4900,5500,7000,5250,
Turkey,223,Cherries,531,Production (tonnes),5510,398141,338361,417694,417905,438550,480748,
Turkmenistan,213,Cherries,531,Production (tonnes),5510,,,,,,,
Turks and Caicos Islands,224,Cherries,531,Production (tonnes),5510,,,,,,,
Tuvalu,227,Cherries,531,Production (tonnes),5510,,,,,,,
Uganda,226,Cherries,531,Production (tonnes),5510,,,,,,,
Ukraine,230,Cherries,531,Production (tonnes),5510,68200,74700,53000,73000,72800,72600,
United Arab Emirates,225,Cherries,531,Production (tonnes),5510,,,,,,,
United Kingdom,229,Cherries,531,Production (tonnes),5510,1220,1200,1250,1200,1183,1660,
United Republic of Tanzania,215,Cherries,531,Production (tonnes),5510,,,,,,,
United States of America,231,Cherries,531,Production (tonnes),5510,281862,225073,401792,284148,303376,384646,
United States Virgin Islands,240,Cherries,531,Production (tonnes),5510,,,,,,,
Uruguay,234,Cherries,531,Production (tonnes),5510,,,,,,,
USSR,228,Cherries,531,Production (tonnes),5510,,,,,,,
Uzbekistan,235,Cherries,531,Production (tonnes),5510,55000,61000,67000,75000,82000,84000,
Vanuatu,155,Cherries,531,Production (tonnes),5510,,,,,,,
Venezuela (Bolivarian Republic of),236,Cherries,531,Production (tonnes),5510,,,,,,,
Viet Nam,237,Cherries,531,Production (tonnes),5510,,,,,,,
Wallis and Futuna Islands,243,Cherries,531,Production (tonnes),5510,,,,,,,
Western Sahara,205,Cherries,531,Production (tonnes),5510,,,,,,,
Yemen,249,Cherries,531,Production (tonnes),5510,,,,,,,
Yugoslav SFR,248,Cherries,531,Production (tonnes),5510,,,,,,,
Zambia,251,Cherries,531,Production (tonnes),5510,,,,,,,
Zimbabwe,181,Cherries,531,Production (tonnes),5510,,,,,,,
Net Food Importing Developing Countries + (Total),5817,Cherries,531,Production (tonnes),5510,14364,14148,15008,16221,17861,15152,
Low Income Food Deficit Countries + (Total),5815,Cherries,531,Production (tonnes),5510,71182,81243,93340,97843,105392,106800,
European Union + (Total),5706,Cherries,531,Production (tonnes),5510,503993,518377,578822,541252,616181,523936,
Least Developed Countries + (Total),5801,Cherries,531,Production (tonnes),5510,,,,,,,
Land Locked Developing Countries + (Total),5802,Cherries,531,Production (tonnes),5510,94159,105923,122437,115125,131208,137347,
Small Island Developing States + (Total),5803,Cherries,531,Production (tonnes),5510,977,692,568,800,828,900,
World + (Total),5000,Cherries,531,Production (tonnes),5510,1959472,1847361,2193691,2072455,2158934,2256519,
Africa + (Total),5100,Cherries,531,Production (tonnes),5510,12477,15689,18706,18914,22794,20678,
 --Eastern Africa + (Total),5101,Cherries,531,Production (tonnes),5510,,,,,,,
 --Middle Africa + (Total),5102,Cherries,531,Production (tonnes),5510,,,,,,,
 --Northern Africa + (Total),5103,Cherries,531,Production (tonnes),5510,12271,15417,18240,18624,22453,20376,
 --Southern Africa + (Total),5104,Cherries,531,Production (tonnes),5510,206,272,466,290,341,302,
 --Western Africa + (Total),5105,Cherries,531,Production (tonnes),5510,,,,,,,
Americas + (Total),5200,Cherries,531,Production (tonnes),5510,344515,309064,465493,362102,407119,496849,
 --Northern America + (Total),5203,Cherries,531,Production (tonnes),5510,290646,232199,416828,294130,313448,398421,
 --Central America + (Total),5204,Cherries,531,Production (tonnes),5510,,,,6,,18,
 --Caribbean + (Total),5206,Cherries,531,Production (tonnes),5510,,,,,,,
 --South America + (Total),5207,Cherries,531,Production (tonnes),5510,53869,76865,48665,67966,93671,98410,
Asia + (Total),5300,Cherries,531,Production (tonnes),5510,847671,774234,902985,923459,863652,987820,
 --Central Asia + (Total),5301,Cherries,531,Production (tonnes),5510,71270,78890,91770,93510,102000,104900,
 --Eastern Asia + (Total),5302,Cherries,531,Production (tonnes),5510,38600,42000,43600,48200,52400,53300,
 --Southern Asia + (Total),5303,Cherries,531,Production (tonnes),5510,213603,213325,239316,266834,166566,215500,
 --South-Eastern Asia + (Total),5304,Cherries,531,Production (tonnes),5510,,,,,,,
 --Western Asia + (Total),5305,Cherries,531,Production (tonnes),5510,524198,440019,528299,514915,542686,614120,
Europe + (Total),5400,Cherries,531,Production (tonnes),5510,743179,736441,790930,752180,853163,737836,
 --Eastern Europe + (Total),5401,Cherries,531,Production (tonnes),5510,290204,292613,288685,295885,323188,295932,
 --Northern Europe + (Total),5402,Cherries,531,Production (tonnes),5510,4493,4206,5137,3688,3697,4423,
 --Southern Europe + (Total),5403,Cherries,531,Production (tonnes),5510,314447,338052,356741,309489,347988,335447,
 --Western Europe + (Total),5404,Cherries,531,Production (tonnes),5510,134035,101570,140367,143118,178290,102034,
Oceania + (Total),5500,Cherries,531,Production (tonnes),5510,11630,11933,15577,15800,12206,13336,
 --Australia & New Zealand + (Total),5501,Cherries,531,Production (tonnes),5510,11630,11933,15577,15800,12206,13336,
 --Melanesia + (Total),5502,Cherries,531,Production (tonnes),5510,,,,,,,
 --Micronesia + (Total),5503,Cherries,531,Production (tonnes),5510,0,0,0,0,0,0,
 --Polynesia + (Total),5504,Cherries,531,Production (tonnes),5510,,,,,,,
