,,,,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
45,BRA,Brazil,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,"-2,017,000,000","-2,587,000,000","-3,426,000,000","-4,226,000,000","-5,454,000,000","-7,018,000,000","-10,262,000,000","-13,494,000,000","-11,007,000,000","-11,466,000,000","-11,190,000,000","-11,122,000,000","-10,314,000,000","-12,080,000,000","-12,546,000,000","-11,608,000,000","-9,651,000,000","-7,997,000,000","-10,322,000,000","-9,091,000,000","-11,105,000,000","-12,177,000,000","-16,344,000,000","-19,617,000,000","-18,844,000,000","-17,885,820,000","-19,743,210,000","-18,190,550,000","-18,552,120,000","-20,520,130,000","-25,967,390,000","-27,488,970,000","-29,291,170,000","-40,561,770,000"
46,BRN,Brunei Darussalam,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57,933,080","62,940,210","-57,399","8,401,232","72,939,300","65,326,840","62,371,370","63,648,120"
47,BGR,Bulgaria,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,"-412,000,000","-261,000,000","-212,000,000","-128,000,000","-60,000,000","-97,000,000","-162,000,000","-314,000,000","-429,000,000","-592,000,000","-758,000,000","-28,100,000","-95,600,000","-192,300,000","-192,500,000","-432,200,000","-396,200,000","-356,600,000","-283,903,500","-185,172,000","-323,415,100","24,922,850","343,495,800","343,837,900","303,410,000","89,631,710","-863,105,500","-1,531,166,000","-1,798,470,000"
48,BFA,Burkina Faso,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,"-2,226,795","-11,917,160","-9,345,032","-19,965,020","-10,595,780","-8,945,963","-3,497,736","-9,516,749","-10,191,530","-10,079,620","-7,424,077","-4,879,103","-5,460,490","-8,800,926","-8,782,997","-6,407,357","-176,299","233,954","2,561,470","-7,133,711","-29,416,180",,,,,,"-20,056,850","-24,423,000",,,,,,,
49,BDI,Burundi,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,"-18,319,550","-20,626,940","-28,374,000","-22,935,290","-17,602,940","-14,814,130","-11,040,560","-13,562,000","-11,001,730","-11,366,940","-12,524,150","-13,925,840","-12,532,960","-8,259,898","-9,430,542","-12,083,140","-13,903,600","-11,717,340","-17,344,960","-19,193,020","-17,786,710","-8,824,969","-5,886,938","-4,304,178"
50,KHM,Cambodia,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-20,600,000","-16,124,000","-47,000,000","-57,200,000","-85,700,000","-42,500,000","-60,063,630","-98,598,140","-123,145,200","-137,896,300","-183,819,900","-179,339,200","-221,041,200","-294,709,400","-306,126,300","-347,604,800","-408,655,100"
51,CMR,Cameroon,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,"-41,151,140","-74,183,760","-95,852,960","-176,212,000","-183,453,200","-194,214,200","-279,269,200","-327,446,700","-595,887,100","-317,493,900","-406,506,300","-494,010,000","-414,001,800","-557,802,600","-424,342,700","-782,117,200","-652,558,000","-316,423,800","-412,242,100","-594,753,300","-714,792,700","-399,471,300","-768,498,800","-493,085,100","-332,325,500","-376,885,700","-409,704,400","-443,474,800","-620,363,500","-331,176,700","-499,150,000","-205,232,100"
52,CAN,Canada,BN.GSR.FCTY.CD,Net income (BoP current US$),"-635,013,300","-877,635,700","-993,015,300","-1,117,514,000","-998,216,600","-1,551,904,000","-1,518,190,000","-1,836,600,000","-1,805,622,000","-1,958,793,000","-1,618,405,000","-2,570,147,000","-3,288,077,000","-3,754,599,000","-4,656,669,000","-4,865,096,000","-5,938,851,000","-6,271,711,000","-8,550,175,000","-9,375,432,000","-10,763,560,000","-14,365,440,000","-9,562,851,000","-12,586,400,000","-12,410,030,000","-12,815,580,000","-14,009,910,000","-17,150,950,000","-17,473,890,000","-20,483,150,000","-19,387,680,000","-17,397,710,000","-17,512,500,000","-20,801,190,000","-18,938,480,000","-22,721,430,000","-21,551,000,000","-20,879,840,000","-19,985,200,000","-22,619,850,000","-22,290,660,000","-25,415,840,000","-19,301,290,000","-21,244,960,000","-18,552,480,000","-18,874,940,000","-12,228,870,000","-10,209,630,000","-14,064,790,000"
53,CPV,Cape Verde,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,"989,823","636,606","1,292,977","3,390,175","523,671","-4,472,210","-6,874,441","-4,495,869","-4,076,102","-2,691,375","-223,002","748,326","3,989,583","2,285,263","1,197,199","1,281,433","963,114","-341,552","-2,572,563","-4,400,939","-3,586,520","-5,561,564","-8,509,090","-12,642,850","-5,133,304","-11,846,590","-13,185,090","-18,486,640","-33,471,690","-40,315,700","-32,170,290","-48,045,060"
54,CYM,Cayman Islands,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,CAF,Central African Republic,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,"-606,481","1,156,629","-5,420,229","2,565,322","3,301,282","-7,262,972","-10,688,440","-9,663,654","-7,374,926","-12,326,030","-19,161,190","-21,165,270","-20,755,050","-21,598,460","-13,466,530","-15,739,060","-18,745,410","-22,694,330",,,,,,,,,,,,,,
