countries,country codes,item,item codes,element,element codes,2007,2008,2009,2010,2011,2012,2013
Puerto Rico,177,"Coffee, green",656,Production (tonnes),5510,8100,5524,5846,5000,5200,5800,
Qatar,179,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Republic of Korea,117,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Republic of Moldova,146,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Réunion,182,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Romania,183,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Russian Federation,185,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Rwanda,184,"Coffee, green",656,Production (tonnes),5510,14683,20724,19372,19319,21820,19995,
"Saint Helena, Ascension and Tristan da Cunha",187,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Saint Kitts and Nevis,188,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Saint Lucia,189,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Saint Pierre and Miquelon,190,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Saint Vincent and the Grenadines,191,"Coffee, green",656,Production (tonnes),5510,180,200,220,135,168,170,
Samoa,244,"Coffee, green",656,Production (tonnes),5510,8,8,8,12,12,12,
San Marino,192,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Sao Tome and Principe,193,"Coffee, green",656,Production (tonnes),5510,26,22,27,34,36,38,
Saudi Arabia,194,"Coffee, green",656,Production (tonnes),5510,0,0,0,0,0,0,
Senegal,195,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Serbia,272,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Serbia and Montenegro,186,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Seychelles,196,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Sierra Leone,197,"Coffee, green",656,Production (tonnes),5510,21000,21200,22000,30800,33478,35000,
Singapore,200,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Slovakia,199,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Slovenia,198,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Solomon Islands,25,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Somalia,201,"Coffee, green",656,Production (tonnes),5510,,,,,,,
South Africa,202,"Coffee, green",656,Production (tonnes),5510,,,,,,,
South Sudan,277,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Spain,203,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Sri Lanka,38,"Coffee, green",656,Production (tonnes),5510,6050,5450,5410,5240,5320,5560,
Sudan,276,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Sudan (former),206,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Suriname,207,"Coffee, green",656,Production (tonnes),5510,10,10,9,9,9,9,
Svalbard and Jan Mayen Islands,260,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Swaziland,209,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Sweden,210,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Switzerland,211,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Syrian Arab Republic,212,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Tajikistan,208,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Thailand,216,"Coffee, green",656,Production (tonnes),5510,55660,50442,56315,48955,42394,43500,
The former Yugoslav Republic of Macedonia,154,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Timor-Leste,176,"Coffee, green",656,Production (tonnes),5510,14000,14009,10122,12653,8320,9000,
Togo,217,"Coffee, green",656,Production (tonnes),5510,9300,9143,11700,11500,12500,10843,
Tokelau,218,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Tonga,219,"Coffee, green",656,Production (tonnes),5510,22,23,22,15,15,15,
Trinidad and Tobago,220,"Coffee, green",656,Production (tonnes),5510,60,60,51,60,75,78,
Tunisia,222,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Turkey,223,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Turkmenistan,213,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Turks and Caicos Islands,224,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Tuvalu,227,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Uganda,226,"Coffee, green",656,Production (tonnes),5510,175346,211726,195871,166968,191371,186126,
Ukraine,230,"Coffee, green",656,Production (tonnes),5510,,,,,,,
United Arab Emirates,225,"Coffee, green",656,Production (tonnes),5510,,,,,,,
United Kingdom,229,"Coffee, green",656,Production (tonnes),5510,,,,,,,
United Republic of Tanzania,215,"Coffee, green",656,Production (tonnes),5510,48869,43100,62350,40000,60575,66204,
United States of America,231,"Coffee, green",656,Production (tonnes),5510,3400,3950,3950,3990,3450,3270,
United States Virgin Islands,240,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Uruguay,234,"Coffee, green",656,Production (tonnes),5510,,,,,,,
USSR,228,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Uzbekistan,235,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Vanuatu,155,"Coffee, green",656,Production (tonnes),5510,13,15,16,24,40,40,
Venezuela (Bolivarian Republic of),236,"Coffee, green",656,Production (tonnes),5510,70311,72000,70000,71782,69138,70000,
Viet Nam,237,"Coffee, green",656,Production (tonnes),5510,1251000,1055811,1057540,1105700,1276506,1292389,
Wallis and Futuna Islands,243,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Western Sahara,205,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Yemen,249,"Coffee, green",656,Production (tonnes),5510,18330,18788,18924,19029,19275,19828,
Yugoslav SFR,248,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Zambia,251,"Coffee, green",656,Production (tonnes),5510,5100,5869,4889,6500,6000,6500,
Zimbabwe,181,"Coffee, green",656,Production (tonnes),5510,1860,1440,1380,2100,2797,2797,
Net Food Importing Developing Countries + (Total),5817,"Coffee, green",656,Production (tonnes),5510,1785222,1796956,1757727,1822064,1917595,1890308,
Low Income Food Deficit Countries + (Total),5815,"Coffee, green",656,Production (tonnes),5510,1839288,1772009,1791323,1799333,1914693,1886511,
European Union + (Total),5706,"Coffee, green",656,Production (tonnes),5510,0,0,0,0,0,0,
Least Developed Countries + (Total),5801,"Coffee, green",656,Production (tonnes),5510,846311,828373,874937,962100,1032403,980646,
Land Locked Developing Countries + (Total),5802,"Coffee, green",656,Production (tonnes),5510,567910,578788,596019,657505,713956,652627,
Small Island Developing States + (Total),5803,"Coffee, green",656,Production (tonnes),5510,207191,180184,168115,130103,169838,172504,
World + (Total),5000,"Coffee, green",656,Production (tonnes),5510,8150325,8408146,7807420,8431023,8432700,8826903,
Africa + (Total),5100,"Coffee, green",656,Production (tonnes),5510,1009562,988734,1012776,1067514,1062453,1000025,
 --Eastern Africa + (Total),5101,"Coffee, green",656,Production (tonnes),5510,671816,653922,699827,740570,791446,708206,
 --Middle Africa + (Total),5102,"Coffee, green",656,Production (tonnes),5510,102421,96916,102374,156994,158671,161808,
 --Northern Africa + (Total),5103,"Coffee, green",656,Production (tonnes),5510,,,,,,,
 --Southern Africa + (Total),5104,"Coffee, green",656,Production (tonnes),5510,,,,,,,
 --Western Africa + (Total),5105,"Coffee, green",656,Production (tonnes),5510,235325,237896,210575,169950,112336,130011,
Americas + (Total),5200,"Coffee, green",656,Production (tonnes),5510,4589208,5053142,4404150,4931720,4763379,5128392,
 --Northern America + (Total),5203,"Coffee, green",656,Production (tonnes),5510,3400,3950,3950,3990,3450,3270,
 --Central America + (Total),5204,"Coffee, green",656,Production (tonnes),5510,1079714,1048918,1018265,1023176,1061222,1129746,
 --Caribbean + (Total),5206,"Coffee, green",656,Production (tonnes),5510,134731,104026,97326,64807,76174,77019,
 --South America + (Total),5207,"Coffee, green",656,Production (tonnes),5510,3371363,3896248,3284609,3839747,3622533,3918357,
Asia + (Total),5300,"Coffee, green",656,Production (tonnes),5510,2493385,2304482,2330168,2379475,2521872,2612358,
 --Central Asia + (Total),5301,"Coffee, green",656,Production (tonnes),5510,,,,,,,
 --Eastern Asia + (Total),5302,"Coffee, green",656,Production (tonnes),5510,26000,33278,70405,49596,65384,70000,
 --Southern Asia + (Total),5303,"Coffee, green",656,Production (tonnes),5510,294510,267950,267978,295147,307722,319985,
 --South-Eastern Asia + (Total),5304,"Coffee, green",656,Production (tonnes),5510,2154545,1984466,1972861,2015703,2129491,2202545,
 --Western Asia + (Total),5305,"Coffee, green",656,Production (tonnes),5510,18330,18788,18924,19029,19275,19828,
Europe + (Total),5400,"Coffee, green",656,Production (tonnes),5510,0,0,0,0,0,0,
 --Eastern Europe + (Total),5401,"Coffee, green",656,Production (tonnes),5510,,,,,,,
 --Northern Europe + (Total),5402,"Coffee, green",656,Production (tonnes),5510,,,,,,,
 --Southern Europe + (Total),5403,"Coffee, green",656,Production (tonnes),5510,0,0,0,0,0,0,
 --Western Europe + (Total),5404,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Oceania + (Total),5500,"Coffee, green",656,Production (tonnes),5510,58170,61788,60327,52314,84996,86128,
 --Australia & New Zealand + (Total),5501,"Coffee, green",656,Production (tonnes),5510,,,,,,,
 --Melanesia + (Total),5502,"Coffee, green",656,Production (tonnes),5510,58128,61741,60280,52275,84949,86081,
 --Micronesia + (Total),5503,"Coffee, green",656,Production (tonnes),5510,,,,,,,
 --Polynesia + (Total),5504,"Coffee, green",656,Production (tonnes),5510,42,47,47,39,47,47,
