countries,country codes,item,item codes,element,element codes,2007,2008,2009,2010,2011,2012,2013
USSR,228,Apples,515,Production (tonnes),5510,,,,,,,
Uzbekistan,235,Apples,515,Production (tonnes),5510,502500,585000,635000,712000,779000,820000,
Vanuatu,155,Apples,515,Production (tonnes),5510,,,,,,,
Venezuela (Bolivarian Republic of),236,Apples,515,Production (tonnes),5510,,,,,,,
Viet Nam,237,Apples,515,Production (tonnes),5510,,,,,,,
Wallis and Futuna Islands,243,Apples,515,Production (tonnes),5510,,,,,,,
Western Sahara,205,Apples,515,Production (tonnes),5510,,,,,,,
Yemen,249,Apples,515,Production (tonnes),5510,20039,20840,20074,21092,19079,22000,
Yugoslav SFR,248,Apples,515,Production (tonnes),5510,,,,,,,
Zambia,251,Apples,515,Production (tonnes),5510,,,,,,,
Zimbabwe,181,Apples,515,Production (tonnes),5510,6628,5702,6121,6196,6090,6500,
Net Food Importing Developing Countries + (Total),5817,Apples,515,Production (tonnes),5510,1835323,1818764,1745832,1935113,2070095,2148432,
Low Income Food Deficit Countries + (Total),5815,Apples,515,Production (tonnes),5510,3133122,3679374,3753976,3662492,4891492,4341504,
European Union + (Total),5706,Apples,515,Production (tonnes),5510,10362283,12086576,12059934,10806650,11711303,10982277,
Least Developed Countries + (Total),5801,Apples,515,Production (tonnes),5510,128261,127472,145052,146670,151099,169946,
Land Locked Developing Countries + (Total),5802,Apples,515,Production (tonnes),5510,1680038,1878165,1846672,1881209,2108804,2293531,
Small Island Developing States + (Total),5803,Apples,515,Production (tonnes),5510,1727,1819,2001,1571,1751,1756,
World + (Total),5000,Apples,515,Production (tonnes),5510,65197338,69047694,71000804,70581492,76130690,76378738,
Africa + (Total),5100,Apples,515,Production (tonnes),5510,2022209,2131697,2160890,2202947,2314820,2366376,
 --Eastern Africa + (Total),5101,Apples,515,Production (tonnes),5510,17350,14936,14229,14098,13467,14708,
 --Middle Africa + (Total),5102,Apples,515,Production (tonnes),5510,,,,,,,
 --Northern Africa + (Total),5103,Apples,515,Production (tonnes),5510,1296770,1346020,1328963,1464617,1520229,1555910,
 --Southern Africa + (Total),5104,Apples,515,Production (tonnes),5510,708089,770741,817698,724232,781124,795758,
 --Western Africa + (Total),5105,Apples,515,Production (tonnes),5510,,,,,,,
Americas + (Total),5200,Apples,515,Production (tonnes),5510,8803609,9117350,9155705,9380094,9634097,9264435,
 --Northern America + (Total),5203,Apples,515,Production (tonnes),5510,4527969,4796449,4837559,4585624,4669866,4379883,
 --Central America + (Total),5204,Apples,515,Production (tonnes),5510,531914,543936,604692,629638,683441,431275,
 --Caribbean + (Total),5206,Apples,515,Production (tonnes),5510,1727,1819,2001,1571,1751,1756,
 --South America + (Total),5207,Apples,515,Production (tonnes),5510,3741999,3775146,3711453,4163261,4279039,4451521,
Asia + (Total),5300,Apples,515,Production (tonnes),5510,38960807,41743364,43189973,44155216,48246941,49040359,
 --Central Asia + (Total),5301,Apples,515,Production (tonnes),5510,900560,1017640,1078470,1155964,1280533,1389300,
 --Eastern Asia + (Total),5302,Apples,515,Production (tonnes),5510,29776675,31912901,33744132,35263991,37773808,38974986,
 --Southern Asia + (Total),5303,Apples,515,Production (tonnes),5510,4826697,5261361,4469782,4084426,5458273,4664346,
 --South-Eastern Asia + (Total),5304,Apples,515,Production (tonnes),5510,,,,,,,
 --Western Asia + (Total),5305,Apples,515,Production (tonnes),5510,3456875,3551462,3897589,3650835,3734327,4011727,
Europe + (Total),5400,Apples,515,Production (tonnes),5510,14719237,15343802,15768102,14128834,15190055,14970504,
 --Eastern Europe + (Total),5401,Apples,515,Production (tonnes),5510,5423958,6554235,6870040,5727388,6176383,7508126,
 --Northern Europe + (Total),5402,Apples,515,Production (tonnes),5510,430755,472131,412882,386141,396310,387682,
 --Southern Europe + (Total),5403,Apples,515,Production (tonnes),5510,4142872,4038613,4154529,4020931,4339756,3517858,
 --Western Europe + (Total),5404,Apples,515,Production (tonnes),5510,4721652,4278823,4330651,3994374,4277606,3556838,
Oceania + (Total),5500,Apples,515,Production (tonnes),5510,691476,711481,726134,714401,744778,737064,
 --Australia & New Zealand + (Total),5501,Apples,515,Production (tonnes),5510,691476,711481,726134,714401,744778,737064,
 --Melanesia + (Total),5502,Apples,515,Production (tonnes),5510,,,,,,,
 --Micronesia + (Total),5503,Apples,515,Production (tonnes),5510,,,,,,,
 --Polynesia + (Total),5504,Apples,515,Production (tonnes),5510,,,,,,,
